,rh1,rh2,ang,energia
0,0.808,0.808,94.5,-73.249668
1,0.808,0.908,94.5,-73.71883199999999
2,0.808,1.008,94.5,-74.035251
3,0.808,1.108,94.5,-74.249214
4,0.808,1.208,94.5,-74.393305
5,0.808,1.308,94.5,-74.48915
6,0.808,1.408,94.5,-74.551378
7,0.808,1.508,94.5,-74.59002
8,0.808,1.608,94.5,-74.612038
9,0.808,1.708,94.5,-74.622314
10,0.808,1.808,94.5,-74.62430400000001
11,0.808,1.908,94.5,-74.620475
12,0.808,2.008,94.5,-74.612593
13,0.808,2.108,94.5,-74.60193000000001
14,0.808,2.208,94.5,-74.589405
15,0.808,2.308,94.5,-74.575689
16,0.808,2.408,94.5,-74.561272
17,0.808,2.508,94.5,-74.546516
18,0.808,2.608,94.5,-74.53169100000001
19,0.808,2.708,94.5,-74.516991
20,0.908,0.808,94.5,-73.71883199999999
21,0.908,0.908,94.5,-74.189525
22,0.908,1.008,94.5,-74.507203
23,0.908,1.108,94.5,-74.722155
24,0.908,1.208,94.5,-74.867026
25,0.908,1.308,94.5,-74.963509
26,0.908,1.408,94.5,-75.026278
27,0.908,1.508,94.5,-75.065391
28,0.908,1.608,94.5,-75.087823
29,0.908,1.708,94.5,-75.098465
30,0.908,1.808,94.5,-75.10078100000001
31,0.908,1.908,94.5,-75.097243
32,0.908,2.008,94.5,-75.08962199999999
33,0.908,2.108,94.5,-75.079195
34,0.908,2.208,94.5,-75.06688299999999
35,0.908,2.308,94.5,-75.053361
36,0.908,2.408,94.5,-75.039121
37,0.908,2.508,94.5,-75.024528
38,0.908,2.608,94.5,-75.00985
39,0.908,2.708,94.5,-74.995287
40,1.008,0.808,94.5,-74.035251
41,1.008,0.908,94.5,-74.507203
42,1.008,1.008,94.5,-73.486245
43,1.008,1.108,94.5,-75.041503
44,1.008,1.208,94.5,-75.186911
45,1.008,1.308,94.5,-75.283821
46,1.008,1.408,94.5,-75.346948
47,1.008,1.508,94.5,-75.386371
48,1.008,1.608,94.5,-75.40907800000001
49,1.008,1.708,94.5,-75.419967
50,1.008,1.808,94.5,-75.422506
51,1.008,1.908,94.5,-75.41917099999999
52,1.008,2.008,94.5,-75.411738
53,1.008,2.108,94.5,-75.401485
54,1.008,2.208,94.5,-75.389338
55,1.008,2.308,94.5,-75.37597199999999
56,1.008,2.408,94.5,-75.36188100000001
57,1.008,2.508,94.5,-75.347429
58,1.008,2.608,94.5,-75.332887
59,1.008,2.708,94.5,-75.31845
60,1.108,0.808,94.5,-74.249214
61,1.108,0.908,94.5,-74.722155
62,1.108,1.008,94.5,-75.041503
63,1.108,1.108,94.5,-75.257663
64,1.108,1.208,94.5,-75.403428
65,1.108,1.308,94.5,-75.500609
66,1.108,1.408,94.5,-75.563956
67,1.108,1.508,94.5,-75.60356800000001
68,1.108,1.608,94.5,-75.626442
69,1.108,1.708,94.5,-75.63748199999999
70,1.108,1.808,94.5,-75.64016
71,1.108,1.908,94.5,-75.63695600000001
72,1.108,2.008,94.5,-75.629649
73,1.108,2.108,94.5,-75.619519
74,1.108,2.208,94.5,-75.607493
75,1.108,2.308,94.5,-75.594248
76,1.108,2.408,94.5,-75.580277
77,1.108,2.508,94.5,-75.565945
78,1.108,2.608,94.5,-75.551519
79,1.108,2.708,94.5,-75.537198
80,1.208,0.808,94.5,-74.393305
81,1.208,0.908,94.5,-74.867026
82,1.208,1.008,94.5,-75.186911
83,1.208,1.108,94.5,-75.403428
84,1.208,1.208,94.5,-75.54943100000001
85,1.208,1.308,94.5,-75.64677900000001
86,1.208,1.408,94.5,-75.71025300000001
87,1.208,1.508,94.5,-75.749969
88,1.208,1.608,94.5,-75.772933
89,1.208,1.708,94.5,-75.784054
90,1.208,1.808,94.5,-75.78680899999999
91,1.208,1.908,94.5,-75.783681
92,1.208,2.008,94.5,-75.77645
93,1.208,2.108,94.5,-75.76639899999999
94,1.208,2.208,94.5,-75.754458
95,1.208,2.308,94.5,-75.741302
96,1.208,2.408,94.5,-75.727424
97,1.208,2.508,94.5,-75.713189
98,1.208,2.608,94.5,-75.698863
99,1.208,2.708,94.5,-75.68464
100,1.308,0.808,94.5,-74.48915
101,1.308,0.908,94.5,-74.963509
102,1.308,1.008,94.5,-75.283821
103,1.308,1.108,94.5,-75.500609
104,1.308,1.208,94.5,-75.64677900000001
105,1.308,1.308,94.5,-75.744233
106,1.308,1.408,94.5,-75.807775
107,1.308,1.508,94.5,-75.847539
108,1.308,1.608,94.5,-75.87054
109,1.308,1.708,94.5,-75.881695
110,1.308,1.808,94.5,-75.88448299999999
111,1.308,1.908,94.5,-75.881389
112,1.308,2.008,94.5,-75.87419799999999
113,1.308,2.108,94.5,-75.864194
114,1.308,2.208,94.5,-75.852308
115,1.308,2.308,94.5,-75.839214
116,1.308,2.408,94.5,-75.825407
117,1.308,2.508,94.5,-75.81124799999999
118,1.308,2.608,94.5,-75.797004
119,1.308,2.708,94.5,-75.782865
120,1.408,0.808,94.5,-74.551378
121,1.408,0.908,94.5,-75.026278
122,1.408,1.008,94.5,-75.346948
123,1.408,1.108,94.5,-75.563956
124,1.408,1.208,94.5,-75.71025300000001
125,1.408,1.308,94.5,-75.807775
126,1.408,1.408,94.5,-75.871351
127,1.408,1.508,94.5,-75.911129
128,1.408,1.608,94.5,-75.934136
129,1.408,1.708,94.5,-75.945293
130,1.408,1.808,94.5,-75.948084
131,1.408,1.908,94.5,-75.944998
132,1.408,2.008,94.5,-75.937821
133,1.408,2.108,94.5,-75.92784
134,1.408,2.208,94.5,-75.915986
135,1.408,2.308,94.5,-75.902935
136,1.408,2.408,94.5,-75.88918000000001
137,1.408,2.508,94.5,-75.87508100000001
138,1.408,2.608,94.5,-75.860902
139,1.408,2.708,94.5,-75.846834
140,1.508,0.808,94.5,-74.59002
141,1.508,0.908,94.5,-75.065391
142,1.508,1.008,94.5,-75.386371
143,1.508,1.108,94.5,-75.60356800000001
144,1.508,1.208,94.5,-75.749969
145,1.508,1.308,94.5,-75.847539
146,1.508,1.408,94.5,-75.911129
147,1.508,1.508,94.5,-75.95090400000001
148,1.508,1.608,94.5,-75.973897
149,1.508,1.708,94.5,-75.985037
150,1.508,1.808,94.5,-75.987813
151,1.508,1.908,94.5,-75.984717
152,1.508,2.008,94.5,-75.977537
153,1.508,2.108,94.5,-75.967563
154,1.508,2.208,94.5,-75.955726
155,1.508,2.308,94.5,-75.94270300000001
156,1.508,2.408,94.5,-75.928986
